#,NAME,PX,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,ZZ,XX,YY,ASSOC,DISC.,PSR,NGLT,AGE,
,,(mas),(deg),(deg),(mas/yr),(mas/yr),(deg),(deg),(kpc),(kpc),(kpc),,DATE,TYPE,,(Yr),
145,J0407+1607,*,63.072,-4.737,*,*,176.618,-25.656,-0.58,0.07,9.71,*,2005,*,*,5.15E+09,
146,J0408+551,*,71.189,33.374,*,*,148.663,2.267,0.06,0.82,9.84,*,2008,*,*,*,
147,J0408+552,*,71.189,33.374,*,*,148.663,2.267,0.07,0.86,9.92,*,2008,*,*,*,
148,J0410-31,*,51.378,-50.963,*,*,230.586,-46.671,-0.3,-0.22,8.68,*,2011,RRAT,*,*,
149,J0413+58,*,72.82,36.146,*,*,147.122,4.934,0.14,0.88,9.86,*,2008,*,*,*,
150,B0410+69,*,77.076,47.628,-4,-12,138.911,13.667,0.32,0.87,9.5,*,1985,*,*,8.08E+07,
151,J0417+35,*,68.82,14.172,*,*,163.219,-10.518,-0.27,0.42,9.89,*,1996,*,*,*,
152,J0417+61,*,74.323,39.088,*,*,145.299,7.54,0.24,1.04,10.01,*,2014,*,*,*,
153,J0418-4154,*,47.604,-61.645,*,*,246.262,-45.682,-17.89,-15.99,15.53,*,2015,*,*,9.13E+06,
154,J0418+5732,*,73.592,35.536,*,*,147.979,5.119,0,0,8.5,XRS:SGR_0418+5729,2010,AXP&NRAD,*,3.51E+07,
155,J0419+44,*,70.639,22.243,*,*,157.525,-4.494,-0.13,0.64,10.06,*,2008,*,*,*,
156,J0420-5022,*,39.726,-69.494,*,*,258.136,-44.386,0,0,8.5,XRS:RX_J0420.0-5022[hmp98]&OPT:[kkvh11],2004,XINS&NRAD,*,1.98E+06,
157,J0421-0345,*,62.735,-24.892,*,*,197.504,-34.757,-1.25,-0.54,10.22,*,1996,*,*,2.94E+07,
158,J0421+32,*,69.082,11.233,*,*,165.84,-11.965,-0.4,0.46,10.34,*,2019,*,*,*,
159,J0426+4933,*,73.068,27.492,*,*,154.436,0.288,0.01,0.78,10.12,*,2008,*,*,3.71E+05,
160,J0435+2749,*,71.395,5.726,*,*,171.842,-13.071,-0.34,0.21,9.97,*,1996,*,*,6.33E+08,
161,J0437-4715,6.37,50.468,-67.873,*,*,253.394,-41.963,-0.1,-0.11,8.53,OPT:[bbm+95]&GRS:2FGL_J0437.3-4712[naa+1,1993,HE[bt93&aaa+09f],*,1.59E+09,
162,J0447-04,*,69.541,-26.736,*,*,202.072,-29.657,-0.33,-0.22,9.04,*,2015,RRAT,*,*,
163,J0448-2749,*,65.229,-49.747,*,*,228.347,-37.918,-1.11,-1.07,9.45,*,1998,*,*,4.81E+07,
164,J0449-7031,*,320.503,-82.441,*,*,282.286,-35.512,-28.87,-39.53,-0.11,EXGAL:LMC,2006,*,*,2.25E+06,
165,B0447-12,*,69.074,-34.981,10,*,211.075,-32.629,-0.95,-0.77,9.78,*,1978,*,*,6.76E+07,
166,J0451-67,*,345.88,-83.303,*,*,278.41,-36.29,-29.42,-39.63,2.64,EXGAL:LMC,2006,*,*,*,
167,B0450-18,0.6,68.832,-40.198,*,*,217.078,-34.087,-0.22,-0.2,8.76,*,1969,*,*,1.51E+06,
168,J0453+1559,*,73.99,-6.534,*,*,184.125,-17.137,-0.15,-0.04,9,*,2013,*,*,3.90E+09,
169,J0454+45,*,77.697,22.72,*,*,160.719,1.212,0.02,0.25,9.22,*,2018,*,*,*,
170,B0450+55,0.84,79.038,32.914,*,*,152.617,7.547,0.15,0.54,9.54,*,1978,*,*,2.28E+06,
171,B0456-69,*,323.73,-83.218,*,*,281.29,-35.187,-28.64,-39.83,0.55,EXGAL:LMC,1991,*,*,4.97E+05,
172,J0456-69,*,329.235,-83.499,*,*,280.457,-35.334,-28.74,-39.87,1.14,EXGAL:LMC,2013,*,*,*,
173,J0456-7031,*,318.647,-82.97,*,*,282.049,-34.966,-28.48,-39.83,0,EXGAL:LMC,2006,*,*,3.45E+05,
174,J0457+23,*,75.614,0.909,*,*,178.305,-12.005,-0.32,0.04,9.99,*,2013,*,*,*,
175,J0457-6337,*,16.643,-82.784,*,*,273.816,-36.701,-0.79,-1.06,8.43,*,2006,*,*,1.88E+08,
176,J0457-69,*,324.138,-83.352,*,*,281.143,-35.113,-28.59,-39.89,0.64,EXGAL:LMC,2013,*,*,*,
177,J0458-0505,*,72.695,-27.607,*,*,204.139,-27.348,-0.89,-0.7,10.07,*,2013,*,*,5.63E+07,
178,J0458-67,*,341.992,-83.978,*,*,278.67,-35.518,-28.87,-39.99,2.4,EXGAL:LMC,2013,*,*,*,
179,J0459-0210,*,73.417,-24.746,*,*,201.444,-25.678,-0.07,-0.05,8.63,*,1996,*,*,1.28E+07,
180,J0501+4516,*,78.847,22.405,*,*,161.547,1.949,0.07,0.7,10.59,SNR:G160.9+2.6&OPT:[dml+11],2008,AXP&NRAD,*,1.57E+04,
181,B0458+46,*,79.221,24.003,*,*,160.363,3.077,0.07,0.44,9.74,*,1978,*,1,1.81E+06,
182,B0502-66,*,356.048,-84.293,*,*,276.869,-35.504,-28.86,-40.17,3.66,EXGAL:LMC,1991,*,*,4.74E+05,
183,J0509+0856,*,77.113,-13.935,*,*,192.486,-17.931,-0.25,-0.17,9.26,*,2019,*,*,1.46E+10,
184,J0509+3801,*,79.736,15.031,*,*,168.275,-1.187,-0.03,0.32,10.03,*,2014,*,*,1.53E+08,
185,J0511-6508,*,10.543,-84.894,*,*,275.25,-34.827,-0.47,-0.67,8.44,*,2006,*,*,2.48E+07,
186,J0514-4002A,*,70.601,-62.716,*,*,244.514,-35.036,-7.58,-9.76,13.15,GC:NGC1851,2004,*,*,6.75E+10,
187,J0514-4408,*,69.15,-66.768,*,*,249.515,-35.365,-0.56,-0.74,8.78,GRS:[brs+19],2015,HE[brs+19],*,2.48E+06,
188,J0517+2212,*,80.121,-0.859,*,*,182.176,-9.012,-0.03,-0.01,8.66,*,2003,*,*,3.04E+08,
189,J0518+51,*,82.64,28.243,*,*,158.264,7.876,0.18,0.49,9.73,*,2019,*,*,*,
190,J0518+5416,*,83.013,31.09,*,*,155.916,9.557,0.24,0.58,9.79,*,2014,*,*,3.22E+06,
191,J0519+44,*,82.128,20.84,*,*,164.464,3.754,0.09,0.38,9.87,*,2008,*,*,*,
192,J0519-6932,*,317.005,-85.214,*,*,280.287,-33.254,-27.25,-40.89,1.08,EXGAL:LMC,2006,*,*,5.98E+06,
193,J0520-2553,*,76.471,-48.865,*,*,228.434,-30.543,-1.21,-1.53,9.86,*,1998,*,*,1.27E+08,
194,J0521-68,*,326.641,-85.833,*,*,279.124,-33.262,-27.26,-41.03,1.91,EXGAL:LMC,2013,*,*,*,
195,J0522-6847,*,323.813,-85.799,*,*,279.348,-33.168,-27.19,-41.05,1.74,EXGAL:LMC,2006,*,*,6.03E+05,
196,B0523+11,*,81.464,-11.932,*,*,192.695,-13.246,-0.42,-0.39,10.25,*,1978,*,*,7.63E+07,
197,J0525-6607,*,4.166,-86.556,*,*,276.087,-33.246,0,0,8.5,XRS:SGR_0526-66&SNR:N49(?)[ekl+80],1979,AXP&NRAD,*,1.96E+03,
